number,created_date,title,score,review,predict
2514,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,9,재미있어요,1
2515,2001-06-21 00:00:00,레디 플레이어 원,6,현실만이 유일한 진짜라는 말만 공감이 되고 내겐 넘 난해했던 영화,0
2516,2001-06-21 00:00:00,파이프라인,8,전형적인 보통 한국영화 였습니다. 킬링타임용.,0
2517,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,1,ㅋㅋㅋ 리뷰 솔직하게들 써라 ,0
2518,2001-06-21 00:00:00,심장이 뛰네,10,아까운 여배우 처녀작이 유작이되어 안타깝다,0
2519,2001-06-21 00:00:00,라이더스 오브 저스티스,10,매즈 아저씨 미쳤음..진짜..걍 다 패버림,0
2520,2001-06-21 00:00:00,스피닝 맨,5,무슨 내용인지를 모르겠음...,0
2521,2001-06-21 00:00:00,키싱 부스 2,10,그냥 말로 표현할 단어가 있을까요 그냥 진짜 너무 좋아요 평생 기억남을 영화,1
2522,2001-06-21 00:00:00,라이더스 오브 저스티스,10,매즈 미켈슨이 매즈 미켈슨 했다 ㅋㅋㅋㅋ액션 미쳤슴,1
2523,2001-06-21 00:00:00,타이타닉,10,다시 봐도 너무 가슴아프고 와닿네요..,1
2524,2001-06-21 00:00:00,퍼시 잭슨과 번개 도둑,6,"내가 원작을 먼저 봐서 그런지 영화가 너무 부족해보인다. 중간중간 빠진 부분들이 너무 많고, 원작을 보지 않았다면 이해가 가지 않을만해보이는 부분이 몇개 있었다. 원작 소설은 만점에 가깝다고 생각한다. 영화를 보고나서 원작을 보는거라면 평점을 높게 줄 수 있었으나, 이미 완성도가 굉장히 높은 원작소설을 읽고 난뒤에 이 영화를보면 조금 많이 실망스러울 수 밖에없다.소재는 좋지만 잘 못살린, 예산이 조금 더 있었다면 달랐을까라는 아쉬움이 남는정도의 영화영어가된다면 영어판 소설을 꼭 사서 보길 추천한다. 나는 개인적으로 해리포터가 참 잘만든 소설이고 영화라고 생각했는데, 퍼시잭슨시리즈를 소설로 보고오니까 해리포터는 애기들 읽는 소설같아보일 지경이다.",0
2525,2001-06-21 00:00:00,반도,2,왜 이정현 같은 비급배우가 나오지?! ,1
2526,2001-06-21 00:00:00,범털2 : 쩐의 전쟁,10,범털 넷플릭스에서 재밌게본 기억이있는데 후속편도 나와서 보게 되었습니다.저는 전작보다 재밌게 봤네요 단점이라면 개연성이 살짝 부족했는데 조연들이 잘 연출된것과 배우들의 캐릭터가 전작보다 좋아서 재밌게 봤습니다 ,1
2527,2001-06-21 00:00:00,원라인,10,내용도 연기도 훌륭하네요 재밌게 봤어요,1
2528,2001-06-21 00:00:00,파고,9,후반부로 갈수록 씁쓸한 맛이 느껴지는 영화. 훌륭한 블랙 코미디 영화. ,1
2529,2001-06-21 00:00:00,조커,8,호아킨의 연기에 감탄을 하면서 보게 된다. 특히 계단 씬이 압권!,1
2530,2001-06-21 00:00:00,토이 스토리 4,4,훌륭한 애니매이션이지만 우디의 팬들에게는 마음에 들지 않을 수 있다. 영화를 다 보고 나면 보니 욕을 할 수 밖에 없다. ,0
2531,2001-06-21 00:00:00,파이프라인,2,이게영화맞나?..,0
2532,2001-06-21 00:00:00,분노의 질주: 더 세븐,8,시리즈 통틀어서 7이 가장 베스트임,1
2533,2001-06-21 00:00:00,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,3,이거 볼빠엔 무한열차 보지;;,0
2534,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,졸라재미써 그리고 선착순으로 피켓 받았는데 개멋지더라 언제 또나오냐,1
2535,2001-06-21 00:00:00,크루엘라,10,기대 안하고 봤는데 너무나 만족스러운 영화.어렸을 때 봤던 101마리 달마시안이 떠오르면서 역시 디즈니다 되뇌이게 됩니다.,1
2536,2001-06-21 00:00:00,모탈 컴뱃,7,상당히 원작에 근접하려는 노력과 액션이라던지 완성도가 보이지만 모르겠고 개인적으로 원작 자체가 이미 별로 흥미가 없음 ㅋㅋㅋㅋ,0
2537,2001-06-21 00:00:00,뉴니스,8,이별 당일 이 영화를 봤어요 공감이 되는 부분이 많아서 더욱 영화가 씁쓸하고 슬프게 느껴지는 거 같네요.마지막에 마틴에게 돌아가는 가비와 마틴의 솔직한 마음을 이야기하는 부분에서 눈물이 났어요. ,1
2538,2001-06-21 00:00:00,오만과 편견,10,한번 본거 또보고 또보는건 세일러문 이후로 처음입니다.. 거의 매일 다시보기 하고있어요 ㅠㅠ ,1
2539,2001-06-21 00:00:00,아미 오브 더 데드,1,이게 영화냐? 내 평생 이렇게 ㅂ ㅅ 같은 영화는 처음본다 시간 아깝다 보지마시길,0
2540,2001-06-21 00:00:00,더 파더,7,저물어져 간다는 것,0
2541,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,쏘쏘,1
2542,2001-06-21 00:00:00,네 마음에 새겨진 이름,7,증경화 역할에 디오 하고싶다 ㅎㅎ,1
2543,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,무슨 내용인지 모르고 봤는데도 불구하고재밌게 잘봤음,1
2544,2001-06-21 00:00:00,파이프라인,1,간만에 쓰레기 영화를 봤네. 유하감독 도대체 왜 이렇게 된거냐? 유치해서 미치겠더라,0
2545,2001-06-21 00:00:00,국가부도의 날,10,.,1
2546,2001-06-21 00:00:00,비와 당신의 이야기,1,&amp;#39;비와 당신의 이야기&amp;#39;의 박스오피스 관객수가 부풀려진것으로 드러났다. 배급사가 프로모션용으로 발권해 놓은 예약티켓을 CJ CGV가 정산을 위해 발권처리하는 과정에서 일어난일이다.,0
2547,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,불사조의질주로 바꾸자,0
2548,2001-06-21 00:00:00,인턴,8,와우.. 정말 좋은 영화!,1
2549,2001-06-21 00:00:00,노매드랜드,9,"주위에서 추천을 많이 받아서 기대하고 보았는데 정말 보길 잘했다는 생각이 들었습니다. 오랜만에 여유로웠던 주말, 혼자 보고 온 영화인데 잠시나마 여행을 다녀온 기분이 들 정도로 잔잔하면서도 멋진 풍경과 자유로운 삶에 푹 빠져있다가 나왔습니다.",1
2550,2001-06-21 00:00:00,파이프라인,6,악인 역할이 좀 약한듯 했지만 볼만했습니다 ,1
2551,2001-06-21 00:00:00,블라인드 사이드,10,진짜 엄청 연기를 잘해요!,1
2552,2001-06-21 00:00:00,블라인드 사이드,10,진짜 엄청 연기를 잘해요!,1
2553,2001-06-21 00:00:00,코스믹 씬,3,아... 영화 엉망이네..평점 밎을껄..,0
2554,2001-06-21 00:00:00,승리호,10,생각했던 것보다 재밌었음 !! 가볍게 보시는 거 추천 ㅎㅎ CG 굳굳,1
2555,2001-06-21 00:00:00,크루엘라,10,존잼남자친구는 별루였던거같지만..ㅋㅋ여자들이 좋아할만한!배경음악들도 진짜 신나고 엠마스톤 존예ㅜㅜ힝 연기진짜 최고,1
2556,2001-06-21 00:00:00,원더,1,재밌다.또 보고싶다.친구한테 추천해주고 싶다.,1
2557,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,1,그만내라 차 하나로 얼마나 우려먹는겨,0
2558,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,드디어 액션이 스토리를 지배하기 시작했다. 그래도 여전히 꿀잼. 엔딩은 아련.,1
2559,2001-06-21 00:00:00,아이 캔 스피크,10,.,1
2560,2001-06-21 00:00:00,에브리타임 룩 앳 유,10,유럽을 여행하는듯한 몰입감영상미가 최고입니다사랑은 계산되어진  현실에본능을 더한 짝찾기...   그길이  다를수있음을 보여준듯...,1
2561,2001-06-21 00:00:00,크루엘라,9,개연성은 조금 덜어졌지만 믿고 보는 디즈니영화,1
2562,2001-06-21 00:00:00,국가부도의 날,1,싸구려 반미영화에 남혐영화,0
2563,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,2,작품성이며 스토리는 내다버린지 오래고 연출로 눈의 재미만 높인 영화 ,0
2564,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,꼭보세요 진짜 후회 안하십니다~~!,1
2565,2001-06-21 00:00:00,백엔의 사랑,10,백만엔 짜리 영화,0
2566,2001-06-21 00:00:00,디 워,10,엔딩크레딧은 10점 주기엔 죄송하다,0
2567,2001-06-21 00:00:00,"제니, 주노",4,"지금이야 PC주의(페미니즘 포함)가 사회에 만연해져서 놀랄일도 아니지만 비교적 자유로웠던 2005년 당시에도 싸이월드를 중심으로 불매운동 펼쳐져서 영화가 폭망해버렸던 기억이 나네요감독의 전작을 300만명의 관객이 봤었던걸 생각하면 불매운동이 제대로 먹혀들었다고 봐야겠네요(제니,주노의 총 관객은 25만명)감독도 그 이후로 주류에서 밀려나고 삼류영화만 ...",0
2568,2001-06-21 00:00:00,탐정 홍길동: 사라진 마을,10,.,1
2569,2001-06-21 00:00:00,장사리 : 잊혀진 영웅들,10,이러한 역사는 잊어서는 안됩니다 -역사를 잊은 민족에겐 미래란 없다-,1
2570,2001-06-21 00:00:00,크루엘라,10,감상포인트의 연출 연기 스토리 영상미 OST 전부 누른 적 처음,1
2571,2001-06-21 00:00:00,혼자 사는 사람들,8,"영상 스토리 주인공 공승연분 연기까지 다 좋앗는데 조연부터 단역까지 연기가 너무 어색하거나 초짜, 또는 오버하는 느낌이 들어서 아쉬웠다 그들까지 다 괜찮았으면 더 와 너무 잘만들었다 라는 생각이 들엇을것같다",1
2572,2001-06-21 00:00:00,이별의 아침에 약속의 꽃을 장식하자,9,"설정과 플롯의 힘으로 관객들의 눈물샘을 계속해서 자극한다. 그 기저에는 사랑. 우정 그리고 사람의 친절함에 대한 강한 긍정이 굳게 버티고 있어서, 뻔한 신파가 아닌 깊은 울림으로 감동을 준다.",1
2573,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,2,평점알바들 열일하네...ㅡㅡ 이게 평점이 9점이 넘는다니 아무리 영화라지만 너무 허무맹랑한 설정에 몰입을 할수가 없었음 자동차타고 우주를가다니 ㅡㅡ 너무 심한거 아님?,0
2574,2001-06-21 00:00:00,아미 오브 더 데드,1,살다 살다 평점 처음 남겨봄. 딸부터 죽였어야 한다고 생각한게 나뿐만이 아니었구나. 개연성 개똥.,0
2575,2001-06-21 00:00:00,파이프라인,10,기대않하고 봐서일까요?넘흐 잼있게 봤습니다 ,1
2576,2001-06-21 00:00:00,크루엘라,7,디즈니 치고 영상미는 그냥저냥이고 스토리도 성인이 보기엔 조금 떨어짐그래도 한국영화보단 ㅎ,0
2577,2001-06-21 00:00:00,마담 싸이코,8,이 아줌마 진짜 싸이코 같아!,0
2578,2001-06-21 00:00:00,용의자X,10,연기가..와..감동,1
2579,2001-06-21 00:00:00,파이프라인,10,유쾌 통쾌한 영화!시간가는줄 모르게 재밌었어요~,1
2580,2001-06-21 00:00:00,비와 당신의 이야기,6,"너무 낭만적이고, 아날로그한 것.그럼에도 스토리는 괜찮다.",1
2581,2001-06-21 00:00:00,네가 내가 되었으면 좋겠다,8,첫사랑&amp;짝사랑 했던 혹은 ing중인 사람이라면 백퍼 공감할듯. 예고편 보고 너무 리얼해서 궁금했는데 기분좋게 웃다가 나왔어요~~ 과거 순수했던 시절 내모습이 생각나서 더 웃겼음. (그때 왜그랬지 하면서 눈물도 조금..) ,1
2582,2001-06-21 00:00:00,파이프라인,10,러닝타임내내 빠져서 보며 어떻게시간이지나갔는지모르겠어여 너무 무게감가득하지두 너무가볍지두않아서 즐기면서 볼수있는 영화였어여 서인국배우님 연기 멋졌어여 ^^핀돌이 매력있네여 ♡♡♡,1
2583,2001-06-21 00:00:00,크루엘라,10,영화 정말..안봤으면 후회했을 것 같네요ㅋ 코로나 기간에 심야 영화로 정말 재밌게 봤어요 엠마스톤은 사랑입니다. ,1
2584,2001-06-21 00:00:00,애플,9,"시를 닮은 영화,알리스의 표정에 젖어드는 영화,내가 잊고 싶은 단기기억은 무엇일까 떠올려 본 영화,사각거리는 사과 한 알이 너무나 먹고 싶었던 영화,미각에 대한 기억은 사라지지 않는다는 걸 알게 된 영화,알리스의 춤사위에 빠져들게 한 영화,막춤이라도 음악에 맞춰 쳐보고 싶게 한 영화,우리 모두 잊고 사는 것은 뭘까 생각하게 한 영화,인간 내면 깊숙이 자리하고 있는 무의식에 대해 생각게 한 영화,드러내기에는 너무 고통스러운 상실감에 관한 영화,단기 기억의 마비에도 연인과의 소중한 추억을 선택적으로 기억하고 있는 남자의 영화, 요르고스 란티모스의 영화들을 떠올리게 한 영화,케이트 블란쳇이 제작에 참여했다기에 더 관심 갔던 영화,영화관을 빠져나와서도 여운이 길게 머물렀던 영화, 그래서 재관람하고 싶게 만든 영화!",1
2585,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,7,스트레스 해소 쾅쾅진짜로 지구 밖으로 떠나네,1
2586,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,5,"솔직히 이제.... 의리만 남았다. 내용 계속 허술해지고,돈만 바른 영화지...그 이상도 아니다...차만 계속 부시고, 개연성도 없고..억지스럽고...분노의 질주 1,2 탄의 초심같은 컨셉도 없다....우주로 가는거 보고, 전부 실소 터트리는데.... 나도 한숨쉬었음",0
2587,2001-06-21 00:00:00,소년시절의 너,10,"첫번째 10점영화,10점은 아껴둘려했는데 그럴이유가 없다. ",1
2588,2001-06-21 00:00:00,몬스터 헌터,10,재밌는데?? 몬스터 마다 컨셉도 잘잡고 주인공버프가 너무 쌔서 그렇지 볼만함 액션도 좋구,1
2589,2001-06-21 00:00:00,울고 싶은 나는 고양이 가면을 쓴다,10,너무 재밌어요 ㅠㅠ 다른 영화도 많이 만들어주개요 ,1
2590,2001-06-21 00:00:00,크루엘라,8,디즈니라는 브랜드가 더 이상은 어린이들 전용이라는 생각을 철저히 부순 예.원작에서의 역발상은 참신했다.,0
2591,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,상황 전개 빨라서 좋음.,1
2592,2001-06-21 00:00:00,크루엘라,9,의상이랑 세트 디자인 음악연출 그리고 배우들의 연기가 단연 돋보이는 영화. ,1
2593,2001-06-21 00:00:00,후쿠오카,1,이시국에?,0
2594,2001-06-21 00:00:00,멜랑콜리아,10,earth is evil... 그녀의 일상적 절망보다는 지구의 파멸이 오히려 편안했다,1
2595,2001-06-21 00:00:00,돈,1,기저에 깔린 정서나 연출이 촌스럽네요 90년대 영화인 줄 ,0
2596,2001-06-21 00:00:00,클래식,10,"2003년에 영화로 보고, 오늘 티비로 구매해서 다시봤는데 다시봐도 정말 아름다운 영화에요...손예진은 이때도 연기를 매우 잘했네요~",1
2597,2001-06-21 00:00:00,극장판 귀멸의 칼날: 무한열차편,10,긴 말이 필요 없다 그냥 최고다,1
2598,2001-06-21 00:00:00,노매드랜드,9,"웨이브에서 5500원에 팔길래 24시간짜리 결제해서 봤는데 그럴 만한 가치가 있는 영화였다. 주말 저녁에 보고, 월요일에 내내 생각이나서 퇴근하자마자 또 보고. 화요일인 지금까지 계속 생각나서 리뷰쓰게하는 영화",1
2599,2001-06-21 00:00:00,크루엘라,8,처음엔 연기도 어색한거같고 뭔가 오글거렸는데 크루엘라가 변하면서 디자인 보여주는 영상미가 너무 멋지고 점점 괜찮아 지는것 같더라구요! 스토리도 좋았고 서사가 좋았네요엠마스톤 눈이 정말 커요ㅎㅎ점점 멋져가는 모습보며 눈호강했네요,1
2600,2001-06-21 00:00:00,비와 당신의 이야기,2,무맥락 뭔소린지 모르겠음...여튼 진짜 재미없었음,0
2601,2001-06-21 00:00:00,크루엘라,10,오랜만에 괜찮은 영화 본거 같아요,1
2602,2001-06-21 00:00:00,미드웨이,6,미드웨이 해전이 언제부터 공중전이 되어버렸냐?,0
2603,2001-06-21 00:00:00,러브 액츄얼리,10,"와진짜 보는내내 힐링.. 그리고 라인업 미쳤네. 휴그랜트,콜린퍼스,리암니슨,앨럭릭먼,엠마톰슨,키이라 나이틀리 실화냐? 대박 ㄷㄷ",1
2604,2001-06-21 00:00:00,세인트 빈센트,10,감동과 따뜻함이 느껴지는 영화,1
2605,2001-06-21 00:00:00,크루엘라,10,정말 재밌음!!! 돈아깝지 않다!!!,1
2606,2001-06-21 00:00:00,트랜스포머: 사라진 시대,4,인간 주인공만 안바꿨어도 이정도는 아니었다,0
2607,2001-06-21 00:00:00,지푸라기라도 잡고 싶은 짐승들,10,간만에 재밌는거 봐쑴...,1
2608,2001-06-21 00:00:00,트랜스포머 3,6,옵티머스는 갈수록 버프되는데 메가트론은 너무 심하게 너프됨. ,0
2609,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,1,오글거리고 재미없었어요 ㅠㅠ 허세만 가득....,0
2610,2001-06-21 00:00:00,극장판 귀멸의 칼날: 무한열차편,10,쥐리네요 렌고쿠상  ..,1
2611,2001-06-21 00:00:00,이보다 더 좋을 순 없다,10,말이 필요없는 영화 레젼드,1
2612,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,1,도지코인 화성 가누 이번편 너무 재미없네요 마지막 마무리는 맨날 가족 회식 뻔하쥬,0
2613,2001-06-21 00:00:00,파이프라인,1,이걸영화라고 만들고 있냐?? ,0
2614,2001-06-21 00:00:00,리얼,1,참담할 뿐참담할 뿐참담할 뿐,1
2615,2001-06-21 00:00:00,보이저스,6,브랜스타크는 여기서도 아무것도안하네,0
2616,2001-06-21 00:00:00,크루엘라,7,개연성은 살짝 떨어지지만 영상미가 너무 좋았단,1
2617,2001-06-21 00:00:00,크루엘라,10,눈코뜰새없이 재밌네요 연출 연기 음악 감동 모둔게 완벽했어요. ,1
2618,2001-06-21 00:00:00,인트로덕션,10,담배를 너무좋아하네..,0
2619,2001-06-21 00:00:00,파이프라인,10,이수혁 진짜 ㄱㅅㅋ나오게 잘하네요,1
2620,2001-06-21 00:00:00,빠담풍,10,ㅂㅈ들은 꽂으믄 처음에만 거부하다 나중에는 좋아서 헥헥된다는 교훈을 주는 영화 ㅋㅋ,1
2621,2001-06-21 00:00:00,분노의 질주: 홉스&쇼,10,.,1
2622,2001-06-21 00:00:00,롱 리브 더 킹: 목포 영웅,10,배우들 연기.. 은근히 볼매 영화임~,0
2623,2001-06-21 00:00:00,내일의 기억,10,서예지 연기는 진짜 잘하네 ~,0
2624,2001-06-21 00:00:00,룸메이트,4,흔한소재와 결말 지지부진한 스토리 전개,0
2625,2001-06-21 00:00:00,크루엘라,10,스토리랑 배우 연기가 일품임,1
2626,2001-06-21 00:00:00,크루엘라,10,재밌어요 강춛강추!,1
2627,2001-06-21 00:00:00,극장판 귀멸의 칼날: 무한열차편,10,오랜만에 좋은 영상 보았습니다.,1
2628,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,"ㅠㅠㅇ역시체고,,아묻따 분노의질주",0
2629,2001-06-21 00:00:00,미스트,9,많은걸 생각하게 해주는 영화.. 까마득히 앞날이 없다 생각해도 삶을 포기하지않고 버티면 반드시 좋은날이 올 수 있다..,1
2630,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,액션 보다 스토리 중점이라 더 마음이 따듯해짐,1
2631,2001-06-21 00:00:00,크루엘라,10,진짜 너무 재밋어요ㅠㅠㅠ 특히 치와와가 너무 귀여움 ㅠㅠㅠㅠ,1
2632,2001-06-21 00:00:00,비와 당신의 이야기,10,로맨스가 아니다 이건 삶에 대한 영화이다 10대 20대 30대가 되면서 그 시절 기억과 선택을 보여준다,1
2633,2001-06-21 00:00:00,애플,9,상실의 아픔을 잊을 수 없어 외면하려 했던 한 남자의 상해버린 사과. 그 사과에서 도려낸 무른 부분을 깨끗하게 쓸어 깊은 쓰레기통에 버리고 싶었다.,0
2634,2001-06-21 00:00:00,탐정 홍길동: 사라진 마을,1,말순이 개암덩이네..와 고구마×10000꿀밤한대 줘때리고싶다 진짜..,0
2635,2001-06-21 00:00:00,레드슈즈,10,한국 에니메이션의 대발전자랑스럽다,1
2636,2001-06-21 00:00:00,크루엘라,10,엠마스톤이 크루엘라 캐릭터와 이쁘게 닮아서 싱크로율도 더 좋았던거 같음 ㅋ,1
2637,2001-06-21 00:00:00,아미 오브 더 데드,1,제일 발암인 애는 살고 진짜 개 얼탱이없는 영화네  ㅋㅋ 진짜 극혐 ,0
2638,2001-06-21 00:00:00,크루엘라,10,성공적인 실사화중 하나ㅎㅎ,1
2639,2001-06-21 00:00:00,파이프라인,8,솔직히 중반까지는 졸렸는데 꽤나 반전의 반전,1
2640,2001-06-21 00:00:00,파이프라인,8,솔직히 중반까지는 졸렸는데 꽤나 반전의 반전,1
2641,2001-06-21 00:00:00,크루엘라,10,스토리부터 배우 연기 음악 너무 좋았다,1
2642,2001-06-21 00:00:00,월드 트레이드 센터,8,실화에 바탕을 둔 감동적인 영화..이런 영화는 무조건 기본 평점은 먹고 들어감,1
2643,2001-06-21 00:00:00,크루엘라,10,너무 좋았어요 :) 요즘 본 영화중에서 제일 좋았어요,1
2644,2001-06-21 00:00:00,크루엘라,10,상상이상의 연기력 빌런스러운 분위기 꿀잼!!,1
2645,2001-06-21 00:00:00,크루엘라,9,엠마스톤의 매력에 푹 빠져든다,1
2646,2001-06-21 00:00:00,크루엘라,10,스토리 탄탄하고 볼거리 많이 있어용,1
2647,2001-06-21 00:00:00,백두산,10,굳연기좋음감동추천,1
2648,2001-06-21 00:00:00,파이프라인,10,서인국배우 멸망팬이라 영화보고왔는데 출연배우분들 연기도 다들 잘하시구 영상미도 좋고 재밌게 보고 왔어요^^마지막 에피소드는 다들 너무 귀여우셔서 미소지으며 감상했네요♡1위 가즈아~~♡♡♡,1
2649,2001-06-21 00:00:00,크루엘라,10,재밌는 영화네 ㅋㅋ 연기도 좋고ㅋㅋㅋ,1
2650,2001-06-21 00:00:00,크루엘라,10,역시 디즈니. 역시 엠마 스톤.,1
2651,2001-06-21 00:00:00,크루엘라,10,기대 안하고 봤는데 완전 기대 이상 너무너무 재밌게 봤습니다,1
2652,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,3,"정말 좋아하던 시리즈인데, 이 번편 보니까 이제 그만 나와야 할 것 같다.",0
2653,2001-06-21 00:00:00,라이더스 오브 저스티스,10,음.. 나름 잼있게 봤습니다~~,1
2654,2001-06-21 00:00:00,먼 훗날 우리,10,시작부터 끝까지 가슴먹먹한 영화이 사랑의 끝은 너무 아쉽지만 자신이 가장 밑바닥 삶이었을 때 평생을 함께 하고싶을만큼 좋은 사람을 만났다는 게 너무 부럽기도 했다.이런 사랑이 진정한 사랑이겠지,1
